file,key,ar,en,es,ja
ai.ts,heroSection.title.0.type,span,text,text,text
ai.ts,heroSection.title.0.text,"Virufy ","The science behind ","La Ciencia detrás de ","科学的根拠に基づく "
ai.ts,heroSection.title.1.type,text,span,span,span
ai.ts,heroSection.title.1.text,"العلم وراء ",Virufy,Virufy,Virufy
ai.ts,heroSection.text,الذكاء الاصطناعي قادر على اكتشاف الفروقات الدقيقة في أنماط الصوت للكشف عن وجود الأمراض.,Artificial Intelligence (AI) is capable of detecting minute differences in vocal patterns to detect disease presence.,La Inteligencia Artificial (IA) es capaz de detectar diferencias mínimas en los patrones vocales para detectar la presencia de enfermedades.,人工知能（AI）は、声のパターンの微小な違いを検出して、病気の存在を検知する能力があります。
ai.ts,heroSection.url,/publications,/publications,/publications,/publications
ai.ts,heroSection.linkText,أبحاثنا,Our Research,Vea nuestra Investigación,私たちの研究
ai.ts,aiSection.title,كيف يعمل الذكاء الاصطناعي؟,How does AI work?,¿Cómo funciona la Inteligencia Artificial (IA)?,AIはどのように機能するのか？
ai.ts,aiSection.aiCards.0.title,01,01,01,01
ai.ts,aiSection.aiCards.0.text,تستخدم تطبيقنا الرائد تقنية الذكاء الاصطناعي المتطورة لتحليل أنماط التنفس باستخدام خوارزميات التعلم العميق وتقنيات معالجة الإشارات الصوتية.,Our groundbreaking app employs cutting-edge AI technology to analyze your breathing patterns using deep learning algorithms and audio signal processing techniques.,"Nuestra revolucionaria aplicación CoughCheck emplea tecnología de inteligencia artificial de vanguardia. Con solo toser en su teléfono, nuestra aplicación captura y analiza distintos patrones de tos utilizando sofisticados algoritmos de aprendizaje automático y redes neuronales.",私たちの画期的なアプリは、ディープラーニングアルゴリズムと音声信号処理技術を使用して、呼吸パターンを分析する最先端のAI技術を活用しています。
ai.ts,aiSection.aiCards.0.style,tracking-widest text-[2.5rem] sm:text-6xl,tracking-widest text-[2.5rem] sm:text-6xl,tracking-widest,tracking-widest text-[2.5rem] sm:text-6xl
ai.ts,aiSection.aiCards.1.title,02,02,02,02
ai.ts,aiSection.aiCards.1.text,تقوم الخوارزمية بفحص العناصر المختلفة للسعال، مثل المدة والتكرار ودرجة الصوت. ومن خلال الاستفادة من قاعدة بيانات شاملة، يقارن الذكاء الاصطناعي بدقة أنماط السعال المسجلة مع المؤشرات المعروفة لأمراض الجهاز التنفسي، مما يسمح بالكشف المبكر عن المشكلات الصحية المحتملة.,"The algorithm scrutinizes various elements of the cough, such as duration, frequency, and pitch. Leveraging a comprehensive database, the AI meticulously compares recorded cough patterns against known indicators of respiratory diseases, allowing for the early detection of potential health issues.","El algoritmo examina varios elementos de la tos, como la duración, la frecuencia y la intensidad. Aprovechando una base de datos completa, AI compara meticulosamente los patrones de tos registrados con indicadores conocidos de enfermedades respiratorias, lo que permite la detección temprana de posibles problemas de salud.",AIは、咳の持続時間、頻度、音程など、さまざまな要素を精査します。包括的なデータベースを利用して、記録された咳のパターンを呼吸器疾患の既存の指標と慎重に比較し、潜在的な健康問題の早期発見を可能にします。
ai.ts,aiSection.aiCards.1.style,text-[2.5rem] sm:text-6xl,text-[2.5rem] sm:text-6xl,text-[2.5rem] sm:text-6xl,text-[2.5rem] sm:text-6xl
amilsStory.ts,sectionAmil.titleAmil,قصة أميل,Amil’s Story,Historia de Amil,アミルのストーリー
amilsStory.ts,sectionAmil.textAmil.0,وُلد أميل ونشأ في وادي السيليكون ضمن عائلة مهاجرة، حيث تلقى التعليم في المنزل وبدأ الدراسة في الكلية المجتمعية وهو في الرابعة عشرة من عمره. تأثر أميل بتفاني والده في الخدمة الاجتماعية، وقضى طفولته في أنشطة تطوعية مثل إطعام المشردين في مطابخ الطعام. بعد ذلك بفترة وجيزة، توفي والد أميل في حادث سيارة مأساوي بسبب سائق مخمور. وعلى الرغم من الصراع العاطفي مع فقدان بطله، حصل أميل على أول وظيفة له كمستشار برمجيات يعمل على تطوير تقنية التعرف على الصور للتصحيح التلقائي للاختبارات في مدارس K-12.,"Born and raised in the Silicon Valley in an immigrant family, Amil attended homeschooling and began studying at community college while 14 years old. Amil father's dedication to social service shaped him, with a childhood filled with volunteer activities such as feeding the homeless at soup kitchens. Soon after, Amil's father passed away in a fatal car crash with a drunk driver. Although struggling emotionally with the loss of his hero, Amil took his first job as a software consultant developing image recognition technology for automated grading of tests in K-12 schools.","Amil nació y creció en Silicon Valley en una familia inmigrante. Fue educado en casa y comenzó a estudiar en un colegio comunitario a los 14 años. La dedicación de su padre al servicio social lo marcó profundamente, con una infancia llena de actividades de voluntariado como alimentar a personas sin hogar en comedores comunitarios. Poco después, el padre de Amil falleció en un accidente automovilístico provocado por un conductor ebrio. Aunque sufrió emocionalmente por la pérdida de su héroe, Amil consiguió su primer trabajo como consultor de software desarrollando tecnología de reconocimiento de imágenes para la calificación automatizada de exámenes en escuelas de nivel K-12.",移民家庭でシリコンバレーに生まれ育ったアミルは、ホームスクーリングを受け、14歳でコミュニティカレッジでの学びを始めました。アミルの父は社会奉仕に尽力しており、彼はホームレスに食事を提供するスープキッチンでのボランティア活動などに参加しながら育ちました。ほどなくして、アミルの父は飲酒運転の車との交通事故で亡くなりました。英雄を失った悲しみを乗り越えながら、アミルはK-12の学校でテストの自動採点技術を開発するソフトウェアコンサルタントとして初めての仕事を手にしました。
